Date	Time	Acetic Acid	Acetone	Ammonia	C2H2	C2H4	C3H6	CH4	CO	CO2	Cyclopentene	Ethanol	Formaldehyde	Formic Acid	Furan	Glycolaldehyde	H2O	HCl	HCN	Isobutylene	Methanol	Methyl Formate	Methylpropionate	N2O	Nitrous Acid	NO	NO2	Ozone	SO2
2016/03/04	13:36:36.308	1.0843	3.6999	0.4809	0.0000	0.0366	0.0366	1.6925	0.3196	778.5134	16.3970	0.0000	0.0146	0.2216	0.0000	1.4691	7467.9789	0.0000	1.1227	0.0095	0.3420	0.0467	1.2402	0.5160	1.0165	0.0000	51.6342	0.0671	0.7181
2016/03/04	13:37:02.486	1.4366	90.0971	0.4744	0.0000	0.2260	0.0157	1.6278	0.3860	776.4847	14.3238	0.0000	0.0015	0.1308	0.0000	1.5736	7811.1238	0.0000	1.4582	0.0000	0.4466	0.0296	1.2852	0.4899	1.1079	0.0000	47.9130	0.0000	0.5605
2016/03/04	13:37:11.846	4.7980	5.0351	0.5376	0.0000	0.1798	0.0092	1.7126	0.3716	769.5115	16.1969	0.0000	0.0085	0.1867	0.0000	1.1028	7690.1256	0.0000	1.2274	0.0000	0.4414	0.0301	1.2751	0.4943	1.4182	0.0000	50.3903	0.0000	0.4912
2016/03/04	13:37:22.614	2.7580	5.8526	0.4992	0.0000	0.3067	0.0245	1.6620	0.3581	769.8273	14.3428	0.0000	0.0000	0.2276	0.0000	1.1969	7903.8703	0.0000	0.9682	0.0000	0.3994	0.0780	1.2128	0.4892	1.3567	0.0000	53.0163	0.0000	1.0733
2016/03/04	13:37:33.146	3.5784	4.9489	0.4801	0.0000	0.1885	0.0387	1.7579	0.3770	768.6672	17.4940	0.0005	0.0000	0.3432	0.0000	2.0763	7919.7215	0.0000	1.4004	0.0000	0.4773	0.0825	1.2475	0.4908	1.0119	0.0000	51.7051	0.0000	0.7070
2016/03/04	13:37:44.785	1.1844	73.3173	0.5217	0.0000	0.1337	0.0187	1.6991	0.3744	770.1544	14.9447	0.0000	0.0000	0.2817	0.0000	1.5361	7554.2767	0.0000	1.4669	0.0000	0.4798	0.0333	1.2634	0.5002	1.2101	0.0000	51.3121	0.2138	0.5348
2016/03/04	13:37:54.711	1.1080	92.1396	0.5222	0.0000	0.1847	0.0000	1.7252	0.3932	774.9224	17.3391	0.0000	0.0000	0.2469	0.0000	1.2397	7404.2594	0.0000	1.1871	0.0000	0.3262	0.0677	1.1785	0.4962	0.8890	0.0000	50.1848	0.0000	0.7371
2016/03/04	13:38:04.690	1.2718	2.4437	0.4646	0.0000	0.2030	0.0231	1.6963	0.3298	763.8531	18.4950	0.0000	0.0000	0.1621	0.0000	1.5521	7388.7398	0.0000	1.1952	0.1234	0.4321	0.0753	1.2940	0.5279	1.0643	0.0000	54.1193	0.0000	0.5621
2016/03/04	13:38:14.051	2.8507	2.7485	0.5088	0.0000	0.1975	0.0223	1.6576	0.3823	767.4832	16.6953	0.0010	0.0000	0.2511	0.0000	1.4657	7915.3879	0.0000	1.3154	0.0000	0.4399	0.0909	1.1733	0.4634	1.0136	0.0000	52.9477	0.0000	0.5190
2016/03/04	13:38:28.340	0.9513	81.5710	0.5138	0.0000	0.1306	0.0309	1.6620	0.3584	769.1337	16.3687	0.0000	0.0000	0.1069	0.0000	1.7349	8060.1249	0.0000	1.3425	0.0000	0.5217	0.0850	1.2529	0.4539	1.3195	0.0000	48.2173	0.0000	0.8237
2016/03/04	13:38:37.702	3.5964	3.4589	0.5052	0.0000	0.1950	0.0000	1.6531	0.4017	780.1408	15.0030	0.0000	0.0304	0.2851	0.0000	0.9524	7074.9734	0.0000	1.3573	0.0070	0.3858	0.0014	1.1952	0.4643	1.6743	0.0000	53.9656	0.0000	0.8475
2016/03/04	13:38:47.340	1.0371	3.7054	0.5128	0.0000	0.2191	0.0089	1.6877	0.3726	777.0207	18.7838	0.0000	0.0000	0.2335	0.0000	1.4506	7478.7294	0.0000	1.3705	0.0000	0.4142	0.0271	1.2291	0.4803	1.4738	0.0000	51.9551	0.0000	0.3351
